wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data/hjhong/l2/wandb/wandb/offline-run-20260704_205950-ullnmq5k
wandb: View this run in the terminal with `wandb leet`
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/nn/modules/linear.py:125: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return F.linear(input, self.weight, self.bias)
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/autograd/graph.py:823: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[baseline hold_position] return=0.000+-0.000 captured=0.00 wasted=0.00 clean=0.00
[baseline scripted_shaping] return=3.057+-0.008 captured=0.00 wasted=0.00 clean=0.00
[seed 2] upd 88/390 step=45056 ep_ret=2.498 cap=0.00 kl_l=0.0105 kl_f=0.0112 sps=24.0
[seed 2] upd 89/390 step=45568 ep_ret=2.920 cap=0.00 kl_l=0.0096 kl_f=0.0144 sps=24.0
[seed 2] upd 90/390 step=46080 ep_ret=2.494 cap=0.00 kl_l=0.0099 kl_f=0.0135 sps=24.0
[seed 2] upd 91/390 step=46592 ep_ret=1.872 cap=0.00 kl_l=0.0087 kl_f=0.0117 sps=24.1
[seed 2] upd 92/390 step=47104 ep_ret=2.349 cap=0.00 kl_l=0.0070 kl_f=0.0112 sps=24.1
[seed 2] upd 93/390 step=47616 ep_ret=3.696 cap=0.00 kl_l=0.0088 kl_f=0.0100 sps=24.1
[seed 2] upd 94/390 step=48128 ep_ret=3.424 cap=0.00 kl_l=0.0056 kl_f=0.0089 sps=24.1
[seed 2] upd 95/390 step=48640 ep_ret=3.398 cap=0.00 kl_l=0.0099 kl_f=0.0127 sps=24.1
[seed 2] upd 96/390 step=49152 ep_ret=2.374 cap=0.00 kl_l=0.0077 kl_f=0.0118 sps=24.1
[seed 2] upd 97/390 step=49664 ep_ret=1.851 cap=0.00 kl_l=0.0087 kl_f=0.0096 sps=24.1
[seed 2] upd 98/390 step=50176 ep_ret=1.598 cap=0.00 kl_l=0.0095 kl_f=0.0129 sps=24.1
[seed 2] upd 99/390 step=50688 ep_ret=2.847 cap=0.00 kl_l=0.0058 kl_f=0.0107 sps=24.2
[seed 2] upd 100/390 step=51200 ep_ret=3.624 cap=0.00 kl_l=0.0088 kl_f=0.0120 sps=24.2
  [eval] return=2.997+-0.001 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=-0.061
[seed 2] upd 101/390 step=51712 ep_ret=3.999 cap=0.00 kl_l=0.0086 kl_f=0.0106 sps=24.0
[seed 2] upd 102/390 step=52224 ep_ret=3.996 cap=0.00 kl_l=0.0084 kl_f=0.0121 sps=24.0
[seed 2] upd 103/390 step=52736 ep_ret=3.497 cap=0.00 kl_l=0.0096 kl_f=0.0087 sps=24.0
[seed 2] upd 104/390 step=53248 ep_ret=2.224 cap=0.00 kl_l=0.0083 kl_f=0.0102 sps=24.0
[seed 2] upd 105/390 step=53760 ep_ret=2.023 cap=0.00 kl_l=0.0067 kl_f=0.0094 sps=24.0
[seed 2] upd 106/390 step=54272 ep_ret=2.680 cap=0.00 kl_l=0.0104 kl_f=0.0095 sps=24.0
[seed 2] upd 107/390 step=54784 ep_ret=3.254 cap=0.00 kl_l=0.0108 kl_f=0.0137 sps=24.1
[seed 2] upd 108/390 step=55296 ep_ret=3.050 cap=0.00 kl_l=0.0070 kl_f=0.0078 sps=24.1
[seed 2] upd 109/390 step=55808 ep_ret=2.476 cap=0.00 kl_l=0.0107 kl_f=0.0106 sps=24.1
[seed 2] upd 110/390 step=56320 ep_ret=2.824 cap=0.00 kl_l=0.0102 kl_f=0.0115 sps=24.1
[seed 2] upd 111/390 step=56832 ep_ret=2.601 cap=0.00 kl_l=0.0113 kl_f=0.0115 sps=24.1
[seed 2] upd 112/390 step=57344 ep_ret=2.905 cap=0.00 kl_l=0.0049 kl_f=0.0125 sps=24.1
[seed 2] upd 113/390 step=57856 ep_ret=3.200 cap=0.00 kl_l=0.0076 kl_f=0.0119 sps=24.1
[seed 2] upd 114/390 step=58368 ep_ret=3.248 cap=0.00 kl_l=0.0072 kl_f=0.0102 sps=24.1
[seed 2] upd 115/390 step=58880 ep_ret=2.691 cap=0.00 kl_l=0.0116 kl_f=0.0115 sps=24.1
[seed 2] upd 116/390 step=59392 ep_ret=2.215 cap=0.00 kl_l=0.0073 kl_f=0.0111 sps=24.2
[seed 2] upd 117/390 step=59904 ep_ret=1.947 cap=0.00 kl_l=0.0059 kl_f=0.0119 sps=24.2
[seed 2] upd 118/390 step=60416 ep_ret=2.470 cap=0.00 kl_l=0.0085 kl_f=0.0131 sps=24.2
[seed 2] upd 119/390 step=60928 ep_ret=3.143 cap=0.00 kl_l=0.0072 kl_f=0.0117 sps=24.2
[seed 2] upd 120/390 step=61440 ep_ret=2.720 cap=0.00 kl_l=0.0121 kl_f=0.0125 sps=24.2
  [eval] return=2.987+-0.003 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=-0.070
[seed 2] upd 121/390 step=61952 ep_ret=2.706 cap=0.00 kl_l=0.0139 kl_f=0.0101 sps=23.7
[seed 2] upd 122/390 step=62464 ep_ret=3.231 cap=0.00 kl_l=0.0088 kl_f=0.0095 sps=23.8
[seed 2] upd 123/390 step=62976 ep_ret=4.527 cap=0.00 kl_l=0.0080 kl_f=0.0118 sps=23.8
[seed 2] upd 124/390 step=63488 ep_ret=4.036 cap=0.00 kl_l=0.0088 kl_f=0.0104 sps=23.8
[seed 2] upd 125/390 step=64000 ep_ret=3.024 cap=0.00 kl_l=0.0126 kl_f=0.0133 sps=23.8
[seed 2] upd 126/390 step=64512 ep_ret=3.595 cap=0.00 kl_l=0.0133 kl_f=0.0104 sps=23.8
[seed 2] upd 127/390 step=65024 ep_ret=3.274 cap=0.00 kl_l=0.0106 kl_f=0.0094 sps=23.8
[seed 2] upd 128/390 step=65536 ep_ret=2.774 cap=0.00 kl_l=0.0089 kl_f=0.0099 sps=23.8
[seed 2] upd 129/390 step=66048 ep_ret=2.372 cap=0.00 kl_l=0.0107 kl_f=0.0124 sps=23.8
[seed 2] upd 130/390 step=66560 ep_ret=3.048 cap=0.00 kl_l=0.0078 kl_f=0.0121 sps=23.8
